Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Field28;Field29;Field30;Field31;Field32;Field33;Field34;Field35;Field36;Field37;Field38;Field39;Field40;Field41;Field42;Field43
Muffin alla marmellata;Dolci;Marmellata;;;0;120 gr. di burro;120 gr. di zucchero (anche 100 ok);2 uova;120 gr. di farina;sale;marmellata;;;;;;;;;;;;;Sciogliere il burro nel microonde;Aggiungere lo zucchero e montare bene.;Aggiungere 2 uova e continuare a montare molto bene. ;Aggiungere la farina e un pizzico di sale;Mettere nei pirottini nello stampo (12);A cucchiaiate mettere sopra la marmellata;Forno a 180° per 25 min.;Crescono e inglobano la marmellata;;;;;;;;;;;Al posto della marmellata si può mettere un cucchiaino di nutella o un cubetto di cioccolata al latte kinder Maxi inserito dentro in piedi. OTTIMI!
Muffin banana e cioccolata;Dolci;Banana;;;0;1 e 1/2 cup farina;1 cup di zucchero;1 e 1/2 cucchiaino di lievito;1/2 cucchiaino di sale;3 banane;1 cup di burro;1 uovo;1/2 tazza di gocce di cioccolata;3 cucchiai di noci tritate;2 cucchiai di zucchero;;;;;;;;;Mescolare gli ingredienti.;Aggiungere le banane e il burro.;Mescolare 2 minuti.;Aggiungere l'uovo.; Mescolare 2 minuti.;Aggiungere la cioccolata.;Mettere negli stampini.;Mescolare le noci con lo zucchero.;Mettere sopra all'impasto 1/2 cucchiaino.;Cuocere a 180° per 20-25 min.;;;;;;;;; Ricetta della famiglia Drace. Un po' burrosi, magari diminuire la dose del burro. Molto buoni!
Muffin cioccolato e burro d'arachidi;Dolci;Burro d'arachidi;;;0;130 gr. di burro d'arachidi;75 gr. di burro;50 gr. di zucchero;165 gr. di zucchero di canna;2 uova;150 ml di latte;220 gr. di farina;30 gr. di cacao;1 cucchiaino e 1/2 di lievito;1/2 cucchiaino di bicarbonato;sale q.b.;1 fialetta di vaniglia;150 gr. di gocce di cioccolato;;;;;;Sciogliere il burro e mescolarlo al burro d'arachidi;Aggiungere lo zucchero e lo zucchero di canna;Mescolare bene;Aggiungere le uova e il latte;A parte mescolare la farina col lievito e il bicarbonato;Aggiungere il cacao e un pizzico di sale;Mescolare i due composti;Aggiungere la vaniglia e le gocce di cioccolato;Mettere nei pirrottini e cuocere x 20-25 min a 180°;;;;;;;;;;
Muffins;Dolci;Farina;12 muff.;;0;1 e 3/4 cup farina;3/4 teaspoon sale;1/4 cup zucchero;2 uova;2-4 tablespoons burro fuso;3/4 cup latte;1(2) teaspoon di lievito;;;;;;;;;;;;Mescolare insieme gli ingredienti liquidi.;Mescolare da un'altra parte i rimanenti secchi.;Mescolare insieme. ;Bastano pochi giri di cucchiaio.;Mettere i pirottini sull'apposito stampo.;Riempirli con la pastella.;Mettere in forno a 180° per 20-25 min.a seconda degli ingredienti;;;;;;;;;;;;Ricetta di Christina. Si possono aggiungere ingredienti a piacere tipo gocce di cioccolato o cioccolato e banana schiacciata ecc.
Muffins con frutti di bosco;Dolci;Frutti di bosco;12 muff.;;0;1 3/4 cup farina;3/4 teaspoon sale;1/3 cup zucchero;2 uova;1/4 cup burro fuso;3/4 cup latte;1 cup frutti di bosco (fresco o surg.);1 teaspoon di lievito;;;;;;;;;;;Mescolare i liquidi.;Mescolare i secchi.;Metterli insieme e mescolare con pochi giri del cucchiaio.;Aggiungere i frutti di bosco.;Mettere i pirottini sull'apposito stampo.;Riempirli con l'impasto.;Cuocere in forno caldo a 180° per 20-25 min.;;;;;;;;;;;;Si possono conservare in freezer e farli scongelare a temperatura ambiente. i frutti di bosco sono terribili perchè pieni di semini duri. usare solo i mirtilli.
Muffins di mele;Dolci;Mele;4;;0;370 gr. di farina;una bustina di lievito vaniliato;45gr. di zucchero;160 gr. di burro;2 uova;170 ml. di latte;3 mele ;cannella;;;;;;;;;;;Accendere il forno a 200 gradi.;Sciogliere il burro senza farlo bollire. ;Mettere i pirottini sullo stampo per muffins.;Mettere la farina con il lievito in una ciotola.;Aggiungre 2 cucchiaini di cannella e lo zucchero.;Mescolare le uova e il latte.;Aggiungerci il burro tiepido.;Versare gli ingredienti liquidi nei solidi.;Aggiungere le mele tagliate a pezzetti.;Mescolare bene.;Mettere il ripieno nei pirittini e cuocerli per 20 min.;;;;;;;;
Pancakes allo sciroppo d'acero;Dolci;Sciroppo d'acero;3;;0;1 cup e 1\2 di farina;1 cucchiaino di sale;3 cucchiai di zucchero;1 cucchiaino e 3\4 di lievito;50 gr. di burro sciolto;2 uova sbattute;1 tazza di latte;sciroppo d'acero;;;;;;;;;;;Mescolare farina, sale, zucchero e lievito.;A parte mescolare uova, burro e latte.;Aggiungere i liquidi nei solidi.;Mescolare un po'.;Riposare in frigo da minimo di un'ora ad un massimo di 6.;Scaldare una padella antiaderente.;Provare con un goccio d'acqua se è ben calda.;Cuocere un mestolino alla volta.;A metà cottura girarle e farle dorare dall'altra parte.;Servire calde con lo sciroppo d'acero ed eventualmente un po' di burro.;;;;;;;;;Ricetta di Christina.
Panettone con l'olio;Dolci;Olio;12;;0;4 uova;120 gr. di zucchero;270 farina;150 gr. di olio di semi;50 gr. di rum;2 e 1\2 cucchiaini di lievito ;1 cucchiaino di sale;;;;;;;;;;;;Si mettono le uova e lo zucchero nella terrina.;Si frulla finchè sono molto gonfie.;Si aggiunge la farina mescolata con il lievito.;Si continua a frullare.;Salare e aggiungere l'olio e il rum.;Quando è tutto ben amalgamato versare nello stampo lungo foderato.;Cuocere a 200° per 20 min.;Poi abbassare il forno a 180° gradi e cuocere altri 20 min.;;;-si possono mettere anche fette di pesche (a strati nell'impasto e sopra);-si possono mettere anche fichi sbucciati e tagliati a metà in mezzo e sopra;spolverare poi con dello zucchero prima di infornare;-si possono mettere anche delle fette di mela. nell'impasto aggiungere;della cannella e spolverare con cannella e zucchero la superficie;;;; Si può preparare anche con 170 gr. di farina e 100 gr. di amaretti frullati, farina di cocco (sempre 170 e 100 gr.di cocco), 1 cucchiaio di cacao amaro in polvere, gocce di cioccolato, ecc. Ricetta della nonna Nina
Panettone con uvette;Dolci;Uvetta;8;375;3000;150 gr. di burro;4 uova;200 gr. di zucchero;150 gr. di farina;una manciata di uvetta;rum;lievito;;;;;;;;;;;;Mettere a bagno l'uvetta nel rum due ore prima.;Sbattere il burro e aggiungerci i tuorli.;Amalgamare la farina con il lievito.;Aggiungerla al burro.;In fine metterci anche lo zucchero.;Aggiiungere l'uvetta strizzata.;Montare a neve fermissima le chiare.;Mescolarle all'impasto.;Cuocere in forno caldo per 40 min.;;;;;;;;;;Al posto dell'uvetta si possono mettere gocce di cioccolato o mandorle tostate. L'impasto si può usare anche per fare la torta di mele.                                  Ricetta della zia Nana.
Panettone di chiare;Dolci;Chiare;;;0;7\8 albumi;250 gr. di burro;400 gr. di farina;una bustina di lievito;200 gr. di smarties;200 gr. di zucchero;sale;;;;;;;;;;;;Sbattere il burro a schiuma.;Sempre sbattendo aggiungerci lo zucchero.;Mescolare la farina con il lievito e aggiungerla al burro.;Aggiungere la cioccolata (gocce, smarties, ecc.);Montare le chiare a neve ben ferma con un po' di sale.;Aggiungere le chiare, con delicatezza, al composto preparato prima.;Versare nello stampo foderato con carta da forno.;Cuocere in forno a 200° per circa 40 min. ;;;;;;;;;;; Ottimo se servito con nutella mescolata a del mascarpone. O con la panna spray. Ricetta della nonna Nina. (Gli smarties sono una mia modifica, lei metteva cioccolata in scaglie)
Panettone di mandorle di Gio;Dolci;Farina di mandorle;;;0;4 uova;120 gr. di zucchero;180 gr. di farina di mandorle;100 gr. di farina;2 cucchiaini e 1/2 di lievito;sale;150 gr. di olio di semi;50 gr. di liquore amaretto;;;nutella;;;;;;;;Fare il panettone nella solita maniera;Cuocerlo a 200° x 20 min. poi a 180° x 20 min.;Quando è freddo tagliarlo a metà e spalmarlo di nutella (o sulle fette);;;;;;;;;;;;;;;;Una bomba di bontà!!!!!!!!!!
Panettone nero di chiare;Dolci;Chiare;8;326;2608;7 chiare a neve;100 gr. di burro;150 gr. di zucchero;200 gr. di farina;mezza bustina di lievito;75 gr. di cacao in polvere;;;;;;;;;;;;;Sbattere il burro a schiuma.;Aggiungere lo zucchero, la farina, il cacao e il lievito.;Si sbattono le chiare a neve fermissima.;Si mette la pastella nelle chiare e si mescola adagio.;Si mette nello stampo preparato.;Si inforna per circa 30 min.;;;;;;;;;;;;;Servire con marmellata di mirtilli o albicocche.  Ricetta della zia Nana.
Panna cotta;Dolci;Colla di pesce;;;0;3 fogli di colla di pesce (6 gr.);500 ml di panna liquida;1 bacello di vaniglia;150 gr. di zucchero a velo;;;;;;;;;;;;;;;Ammollare i fogli di colla di pesce in acqua fredda x 10 min;Mettere in un pentolino la panna;Aggiungere la bacca di vaniglia incisa x il lungo;Aggiungere lo zucchero a velo ;Scaldare ma non far bollire;Strizzare l acolla di pesce e aggiungerla;Mescolare bene perchè si sciolga;Filtrare con un colino a maglie strette;Bagnare con acqua degli stampini di alluminio usa e getta;Versarci la panna e mettere in frigo x almeno 5 ore;Servire sformata dagli stampini;;;;;;;;Buonissima!!! A piacere si può bagnare con del liquore invece che con dell'acqua in modo da aromatizzare. Servire con caramello, ciocccolata o frutta ( cotta o cruda)
Pie crust \ Peanut Butter Pie;Dolci;Burro di arachidi;8;471;3768;1 cup di farina;2 cucchiaini di zucchero;1\4 cucchiaino di sale;75 gr. di burro;acqua fredda q.b.;2 cup di latte;3 tuorli;2\3 cup di zucchero;1\4 cup di amido di mais;sale;250 gr. di burro;vanilia;1 cup di zucchero a velo;3\4 cup di peanut butter;;;;;Mettere nel frullatore lo zucchero, la farina ed il sale.;Aggiungere il burro a pezzi  (75 gr.).;Aggiungere un cucchiaio di acqua fredda alla volta.;Formare una palla omogenea.;Foderare una teglia di 24 cm. di diametro.;Stenderci dentro la pasta e metterci della carta con i fagioli.;Cuocere a 200° per 20 min.;Togliere i fagioli.;Cuocere ancora per 5-10 min.;Lavorare il burro di arachidi con lo zucchero a velo.;Metterne 3\4 sulla pie crust.;In una pentola sbattere i tuorli con il latte.;Aggiungere zucchero, sale, amido e vanilia.;Cuocere su fuoco basso finchè si sarà addensata.;Aggiungere il burro.;Versare la crema sulla torta.;Metterci la restante crema di arachidi.;;Ottima servita con panna montata. Si può fare la base con la pasta sfoglia già pronta. Ricetta di Christina
Presnitz;Dolci;Noci;12;365;4380;150 gr. di noci;100 gr. di mandorle;2-3 cucchiai di cacao;100 gr. di pinoli;100 gr. di uvetta;4 cucchiai di zucchero;2 uova;250 gr. di pasta sfoglia;succo di una arancia;1 cucchiaio di miele;rum;pane grattato;;;;;;;Frullare le noci con le mandorle.;Aggiungerci il cacao, il miele e quasi tutto lo zucchero.;Metterci anche il succo di arancia e un po' di rum.;Mescolare bene.;Aggiungerci i pinoli e l'uvetta.;Amalgamare con cura e aggiungerci un uovo.;Aggiungerci un po' di pane grattato in modo che risulti un po' asciutto.;Stendere la pasta.;Metterci il ripieno e arrotolare.;Preparare la placca da forno con la carta.;Formare un cerchio con il presnitz e metterlo sulla placca.;Sbattere leggermente l'uovo con lo zucchero.;Pennellare il dolce in modo uniforme.;Metterlo in forno caldo a 180°.;Sfornarlo quando si è ben dorato.;;;;Gli ingredienti possono variare nella quantità a seconda della disponibilità. Se non si usa il succo d'arancia aggiungere un po' più di rum. La cioccolata può essere anche fondente. Ricetta della zia Nana.
Putizza;Dolci;Lievito di birra;;;0;25 gr. di lievito di birra;1 cucchiaio di zucchero;2 cucchiai di latte;1 cucchiaio di farina;;;250 gr. di farina;75 gr. di burro sciolto;2 tuorli;1/2 cucchiaino di sale;latte da avere una pasta molle;2 cucchiai di zucchero;buccia di limone;;;;;;Mettere il lievito in una terrina capace.;Si scioglie con il latte e con lo zucchero, poi si aggiunge la farina.;Quando questa pastella è ben liscia si mette a lievitare.;Quando è raddoppiata si mettono i tuorli uno alla volta.;Sempre mescolando si mette lo zucchero, il burro, il sale;la buccia di limone e, un po' alla volta la farina e il latte.;Il latte a piccole dosi finchè si ottiene una pasta molle ma compatta.;Sbattere la pasta da sotto in su per 20 min.finchè fa delle bolle.;Lievitare finchè non raddoppia di volume.;Mettere sulla tavola infarinata e lavorarla un po'.;Tirare la pasta con il mattarello.;Mettere il ripieno: VEDI;Fare un rotolo e metterla in una teglia o lunga o rotonda.;Far lievitare finchè raddoppia il volume.;Cuocere in forno caldo finchè ha preso un bel colore.;;;;Per il ripieno vedi: RIPIENO DI RICOTTA PER PUTIZZE o            RIPIENO DI NOCI PER PUTIZZE.                                                          Ricetta della nonna Nina
Ripieno di noci per putizze;Dolci;Noci;2putizze;;0;1/2 dl di latte;1 cucchiaio e più di miele;1/2 noce di burro;125 gr. di noci macinate;cannella in polvere;chiodi di garofani schiacciati;noce moscata;buccia di limone;zucchero;rum;pinoli;uvetta;cedrini;cioccolata in polvere;;;;;Mescolare tutti gli ingredienti in un tegame alto e stretto.;Cuocere su fuoco bassissimo e mescolare. ;L'impasto deve leggermente asciugare.;Stendere la pasta e metterci il ripieno. ;Procedere per preparare la putizza.;;;;;;;;;;;;;;Ricetta Nonna Nina.
Ripieno di ricotta per putizze;Dolci;Ricotta;;;0;1/2 kg. di ricotta;1 tuorlo;1 chiara a neve;2 cucchiai di zucchero;50 gr. di burro;scorza di limone;uvetta;pinoli;rum;;;;;;;;;;Sbattere bene il burro fino a farlo gonfiare.;Si passa la ricotta al setaccio e si aggiunge al burro.;Continuando a sbattere si aggiunge il tuorlo uno alla volta.;Si aggiungono lo zucchero, il limone, le uvette, i pinoli e un po' di rum.;Da ultimo si mette la chiara a neve.;Spalmare la crema sulla pasta e arrotolare.;;;Se si hanno delle uova piccole metterne 2. La ricetta per 2 putizze era di ;tre uova, perciò diviso 2 è un po' difficile. Valutare anche in base ;al tipo di ricotta.;;;;;;;;Ripieno per la putizza. Ricetta della nonna Nina.
Riso soffiato al cioccolato;Dolci;Riso soffiato;;;0;200 gr. di ciocccolato bianco;60 gr. di riso soffiato al cioccolato;300 gr. di cioccolato al latte;;;;;;;;;;;;;;;;Sciogliere il cioccolato al latte;Mescolarci il riso soffiato;Mettere in una scatola di plastica piccolina rivestita di carta forno;Mettere in frigo;Quando è indurito sciogliere il cioccolato al latte;Togliere la mattonella di riso soffiato;Versare sulla carta metà ciocccolata fusa;Adagiarci la mattonella;Coprire con il restante cioccolato al latte;Far raffreddare in frigo;Tagliare a cubetti e servire;;;;;;;;Ottima!!!!!!!!!!!!
Rose del deserto ;Dolci;Corn flakes;;;0;due cubotti di cioccolato fondente (ca 190gr.);90 gr. di burro;100 gr. di corn flakes;;;;zucchero a velo;;;;;;;;;;;;Tagliare il cioccolato a pezzettini;Scioglierlo in una larga pentola col burro;Fare molta attenzione che non bruci.;Mescolare molto bene;Spegnere il fuoco;Versarci poco alla volta i corn flakes;Mettere i pirottini nello stampo da muffin e riempire;Far raffreddare;Servire cosparsi di zucchero a velo;;(con questa dose ne vengono giusti 12 abbondanti);;;;;;;;"Un buonissimo dolce ""a prova di scimmia!!!"" :)"
Rose per la mamma;Dolci;Lievito di birra;10;;0;600 gr. di farina bianca;1 bustina di lievito di birra disidratato;100 gr. di zucchero;1 busta di vanillina;1 cucchiaino raso di sale;3 uova;(buccia grattugiata di un limone);80 gr. di burro fuso;latte tiepido q.b.;;PER LA FARCITURA:;;150 gr. di burro;;125 gr. di zucchero ( o a velo);;3-4 cucchiai di rum;;Mescolare alla farina il lievito di birra.;Aggiungerci zucchero, vanillina, sale, (scorza), uova, burro fuso.;Mescolare bene e aggiungere piano piano il latte tiepido.;Lavorare la pasta per almeno 10 min.;Farlo lievitare finchè il volume è raddoppiato.;Lavorare il burro a crema e aggiungere piano lo zucchero e il rum.;Stendere la pasta in un rettangolo di 60x40 cm. circa.;Spalmarvi la crema la burro.;Tagliarla in 10 strisce larghe 6 cm.;Con un coltello praticare sul lato lungo dei tagli lunghi 2 cm;leggermente obbliqui  e distanti 4-5 cm. ;Arrotolare le strisce non troppo strette partendo da uno dei lati corti.;Porle in vaschette di alluminio (diametro 9 cm.) imburrate e infarinate.;Farle lievitare per 30 min.;Cuocere nella parte inferiore del forno a 180-200° per 20-25 min.;;(Fare la pasta nella macchina del pane);(Sciogliere il burro e portare a 290 ml con il latte);Se si usa la buccia grattata del limone si mette il succo nella crema di farcitura e non il rum. Se si mettono insieme in uno stampo viene la torta dellle rose.
Roulade dolce;Dolci;Cioccolata;6;335;2010;250 gr. di farina;50 gr. di burro;25 gr. di zucchero;1 uovo;lievito;latte;sale;nutella (o marmellata);;;;;;;;;;;Si mescola la farina con il lievito in modo che non formino dei grumi.;Si aggiunge lo zucchero, il burro, l'uovo, il sale.;Si aggiunge un po' di latte fino ad ottenere una pasta consistente.;Si stende con il mattarello della larghezza dello stampo.;Si stende la nutella.;Si arrotola.;Si mette in un foglio di carta e si mette nello stampo.;Si cuoce in forno caldo per 45-60 min.;Si toglie dal forno quando è dorata e croccante.;;;;;;;;;;Prima di cuocerla si può pennellarla con un po' di latte e spolverizzare con un po' di zucchero.                                                                                            Ricetta della nonna Nina.
Saccottini di mostarda;Dolci;Mostarda;;;0;200 gr. di farina;100 gr. di burro;1 uovo;70 gr. di zucchero;rum;sale;mostarda vicentina;zucchero a velo;;;;;;;;;;;Preparare la pasta frolla. ;Stenderla e tagliarla con l'attrezzo per i panzerotti.;Mettere in ogni pezzettino di pasta un po' di mostarda.;Chiudere bene i saccottini.;Mettere su di una teglia rivestita da carta da forno.;Cuocere in forno caldo per 20 min.;Spolverare di zucchero a velo.;;;;;;;;;;;;Ricetta della nonna Giuliana.
Sacher torte;Dolci;Cioccolata;8;689;5512;TORTA:;GLASSA:;250 gr. di farina;100 gr. di cioccolato fondente;200 gr. di burro;50 gr. di burro;150 gr. di zucchero;70 gr. di zucchero a velo;50 gr. di cacao;1 tuorlo;5 uova;latte;lievito;;;Marmellata di albicocche;;;TORTA: Si mescola il burro a schiuma.;Si aggiunge lo zucchero.;Si mettono i 5 tuorli uno alla volta.;Si mescola il cacao, la farina e il lievito.;Si montano a neve le chiare con un po' di sale.;Si aggiungono all'impasto.;Si versa nello stampo e si cuoce per 30-40 min.;Lasciare raffreddare.;Tagliare in due e spalmare la marmellata.;GLASSA: Sciogliere la cioccolata a pezzi con pochissimo latte.;Mettere il burro.;Aggiungere lo zucchero.;Mettere il tuorlo.;Spalmare con un coltello caldo e livellare bene.;;;;;Ricetta della nonna Nina.
